country,longitude,latitude,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,Total Immigration
Korea,,,,,,,,,,,,,,,1.919,3.685,4.432,5.382,5.509,5.255,5.322,
Liberia,-9.429499,6.428055,0.000,0.903,0.699,0.845,1.633,1.716,1.322,0.954,,,,1.544,1.568,2.461,2.925,3.379,3.808,4.133,4.368,
Mexico,-102.552784,23.634501,3.584,3.857,3.487,3.537,3.292,3.710,3.381,2.866,4.494,5.268,5.698,4.515,4.749,5.438,5.645,5.793,6.004,6.441,6.232,
Morocco,-7.09262,31.791702,,0.602,0.000,,,1.176,1.079,0.954,,,,2.041,3.165,3.518,3.459,3.294,3.540,4.198,4.611,
Netherlands,5.291266,52.132633,3.043,3.139,3.882,4.046,3.924,4.154,4.722,4.468,4.628,4.663,4.468,3.892,4.142,4.669,4.579,4.016,4.051,4.125,4.239,
NewZealand,,,,,,0.301,0.778,1.591,1.322,1.079,,,2.971,2.898,3.371,3.255,3.577,3.701,3.787,3.934,4.097,
Nicaragua,-85.207229,12.865416,,,,,,0.000,0.000,0.477,,,,2.751,3.643,3.893,4.016,4.038,4.493,4.906,4.845,
Norway,8.468946,60.472024,,,,,,4.948,5.267,4.986,5.261,4.900,4.847,3.839,3.920,4.358,4.240,3.594,3.584,3.717,3.663,
NotSpecified,,,4.283,4.922,3.857,4.854,4.190,2.772,2.891,4.150,4.525,2.688,2.968,,2.130,4.096,2.076,2.513,5.485,4.414,5.326,
Other Africa,,,1.255,1.732,1.785,1.964,2.516,2.473,2.754,2.549,3.801,3.948,3.724,2.941,3.408,3.686,3.969,4.490,4.886,5.323,5.694,
Other America,,,0.000,0.778,1.041,1.748,1.903,2.944,3.701,3.148,1.863,,1.462,1.398,4.403,4.779,4.344,2.780,1.919,1.568,1.279,
Other Asia,,,0.477,0.000,0.602,1.041,1.756,2.212,2.948,3.642,3.964,3.875,3.783,3.780,3.895,4.103,4.607,5.233,5.684,5.804,5.872,
Other Caribbean,,,3.486,4.072,4.072,4.095,3.720,3.739,3.844,3.897,5.004,5.082,4.849,3.781,4.167,4.327,4.708,5.106,5.079,5.116,5.056,
Other Central America,,,1.756,1.973,2.473,2.709,1.763,2.167,2.431,2.794,3.830,4.195,4.210,3.198,,,,,,,,
Other Europe,,,0.477,1.602,1.898,1.146,1.000,2.797,3.029,2.161,2.711,3.815,4.329,3.958,3.731,3.859,3.833,3.719,3.537,4.464,5.464,
Other Oceania,,,,,0.000,0.602,0.699,2.086,1.845,2.228,2.687,3.025,2.717,2.279,2.851,3.095,3.690,4.211,4.265,4.379,4.313,
Other South America,,,2.607,2.981,3.026,3.553,3.133,1.982,1.892,2.484,4.183,4.601,4.584,3.423,0.845,1.230,1.447,1.255,0.301,,0.301,
Panama,-80.782127,8.537981,,,,,,,,,,,,3.249,3.723,4.100,4.346,4.330,4.518,4.449,4.258,
Paraguay,-58.443832,-23.442503,,,,,,0.301,,,,,,1.556,1.929,2.760,3.097,3.172,3.546,3.784,3.665,
Peru,-75.015152,-9.189967,,,,,1.544,2.104,1.398,1.898,,,,2.663,3.105,3.777,4.296,4.403,4.699,5.042,5.139,
Philippines,121.774017,12.879721,,,,,,0.602,0.000,1.279,2.782,,,2.660,3.613,4.237,4.849,5.529,5.701,5.728,5.737,
Poland,19.145136,51.919438,1.279,2.563,2.021,3.036,3.276,4.042,4.633,5.033,,,5.351,4.423,3.891,3.813,4.746,4.528,4.803,5.236,5.072,
Portugal,-8.224454,39.399872,2.401,2.952,2.555,3.625,3.676,4.146,4.182,4.413,4.814,4.916,4.652,3.546,3.830,4.144,4.849,5.020,4.630,4.406,4.060,
Romania,24.96676,45.943161,,,,,,,3.767,3.833,4.758,4.132,4.831,3.721,3.098,2.961,3.369,4.032,4.394,4.682,4.717,
Russia,105.318756,61.52401,1.934,2.447,2.716,2.626,3.222,4.544,5.238,5.616,6.176,6.044,4.790,3.393,2.782,2.656,3.367,4.449,4.523,5.637,5.223,
South Africa,22.937506,-30.559482,,,,,1.898,1.681,1.362,0.954,,,,2.494,3.009,3.358,3.639,4.000,4.190,4.342,4.508,
