country,longitude,latitude,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,Total Immigration
Other Central America,,,57,94,297,512,58,147,270,622,6758,15652,16226,1576,,,,,,,,
Other Europe,,,3,40,79,14,10,626,1070,145,514,6527,21330,9068,5387,7231,6814,5242,3447,29087,290871,
Other Oceania,,,,,1,4,5,122,70,169,486,1059,521,190,710,1245,4898,16257,18402,23912,20570,
Other South America,,,405,957,1062,3569,1358,96,78,305,15253,39938,38398,2647,7,17,28,18,2,  ,2,
Panama,-80.782127,8.537981,,,,,,,,,,,,1774,5282,12601,22177,21395,32957,28149,18120,
Paraguay,-58.443832,-23.442503,,,,,,2,,,,,,36,85,576,1249,1486,3518,6082,4623,
Peru,-75.015152,-9.189967,,,,,35,127,25,79,,,,460,1273,5980,19783,25311,49958,110117,137614,
Philippines,121.774017,12.879721,,,,,,4,1,19,605,,,457,4099,17245,70660,337726,502056,534338,545463,
Poland,19.145136,51.919438,19,366,105,1087,1886,11016,42910,107793,,,224420,26460,7774,6498,55773,33699,63483,172249,117921,
Portugal,-8.224454,39.399872,252,896,359,4218,4741,13990,15189,25874,65154,82489,44829,3518,6765,13928,70568,104754,42685,25497,11479,
Romania,24.96676,45.943161,,,,,,,5842,6808,57322,13566,67810,5264,1254,914,2339,10774,24753,48136,52154,
Russia,105.318756,61.52401,86,280,520,423,1667,34977,173081,413382,1501301,1106998,61604,2473,605,453,2329,28132,33311,433427,167152,
South Africa,22.937506,-30.559482,,,,,79,48,23,9,,,,312,1022,2278,4360,10002,15505,21964,32221,
Spain,-3.74922,40.463667,2866,2016,1917,8803,6970,5571,3999,9189,24818,53262,47109,3669,2774,6880,40793,41718,22783,18443,17695,
Suriname,-56.027783,3.919305,,,,,,,,,,,,33,130,299,612,714,1357,2285,2363,
Sweden,18.643501,60.128161,,,,,,90179,401330,237248,244439,112957,100002,6551,9000,21418,18779,6371,10106,12614,14783,
Switzerland,8.227512,46.818188,3148,4430,4819,24423,21124,25212,81151,37020,32541,22839,31772,5990,9904,17577,19193,8536,8316,11768,12173,
Syria,38.996815,34.802075,,,,,2,7,140,,,,5307,2188,1179,1091,2432,8086,14534,22906,30807,
Taiwan,120.960515,23.69781,,,,,,,,,,,,,,721,15657,83155,119051,132647,92657,
Turkey,35.243322,38.963745,19,8,45,94,129,382,2478,27510,127999,160717,40374,1314,754,2980,9464,12209,19208,38687,48394,
Uruguay,-55.765835,-32.522779,,,,,,22,4,144,,,,153,754,1026,4089,8416,7235,6062,9827,
Venezuela,-66.58973,6.42375,,,,,36,190,248,,,,,1360,2182,9927,20758,11007,22405,35180,82087,
Vietnam,108.277199,14.058324,,,,,,,,,,,,,,290,2949,121716,200632,275379,289616,
Yugoslavia,,,,,,,,,,,,,49215,6920,2039,6966,17990,31862,16267,57039,131831,
